City,Position,count
Berlin,Software Engineer,171
Berlin,Backend Developer,105
Munich,Software Engineer,81
Berlin,Frontend Developer,49
Berlin,Data Scientist,44
Berlin,QA Engineer,39
Munich,Frontend Developer,22
Munich,Backend Developer,21
Frankfurt,Software Engineer,19
Munich,QA Engineer,16
Hamburg,Software Engineer,12
Munich,Data Scientist,11
Stuttgart,Software Engineer,9
Hamburg,Data Scientist,8
Cologne,Software Engineer,5
Hamburg,Backend Developer,5
Stuttgart,Backend Developer,3
Stuttgart ,Software Engineer,3
Frankfurt,Frontend Developer,3
Prague,Software Engineer,3
Cologne,Data Scientist,3
Amsterdam,Data Scientist,3
Mannheim,Software Engineer,3
Frankfurt,Backend Developer,2
Heidelberg,Software Engineer,2
Siegen,Software Engineer,2
Zurich,Software Engineer,2
Frankfurt,QA Engineer,2
Cologne,Backend Developer,2
Frankfurt,Data Scientist,2
Milan,Data Scientist,2
Tallinn,Software Engineer,2
Stuttgart,Data Scientist,2
Karlsruhe,Software Engineer,2
Düsseldorf,Data Scientist,2
Stuttgart,QA Engineer,2
Wolfsburg,Software Engineer,2
Amsterdam,Backend Developer,2
Moscow,Backend Developer,1
Paderborn,Data Scientist,1
Nürnberg,Software Engineer,1
Nürnberg,QA Engineer,1
Nürnberg,Frontend Developer,1
Prague,Backend Developer,1
Moscow,Frontend Developer,1
Nuremberg ,Data Scientist,1
Nuremberg,QA Engineer,1
Nuremberg,Software Engineer,1
Moldova,Backend Developer,1
Münster,Data Scientist,1
Aachen,QA Engineer,1
Regensburg,Software Engineer,1
Rosenheim,Software Engineer,1
Zurich,Data Scientist,1
Würzburg,Software Engineer,1
Wroclaw,Software Engineer,1
Wolfsburg,Backend Developer,1
Warsaw. Poland,Software Engineer,1
Warsaw,Software Engineer,1
Vienna,Data Scientist,1
Utrecht,Data Scientist,1
Ulm,QA Engineer,1
Tuttlingen,Software Engineer,1
Stuttgart ,Backend Developer,1
Stuttgart,Frontend Developer,1
Stockholm,QA Engineer,1
Stockholm,Frontend Developer,1
Stockholm,Backend Developer,1
Schleswig-Holstein,Software Engineer,1
Saarbrücken,Frontend Developer,1
Minsk,Frontend Developer,1
Konstanz,Data Scientist,1
Marseille,Data Scientist,1
Madrid,Data Scientist,1
France,Data Scientist,1
Fr,Backend Developer,1
Düsseldorf,Software Engineer,1
Düsseldorf,Frontend Developer,1
Dusseldurf,Backend Developer,1
Dusseldorf,Software Engineer,1
Dusseldorf,Data Scientist,1
Dresden,Software Engineer,1
Dortmund,Software Engineer,1
Den Haag,Backend Developer,1
Darmstadt,Data Scientist,1
Copenhagen,Data Scientist,1
Cambridge,Frontend Developer,1
Bölingen,Software Engineer,1
Brussels ,Data Scientist,1
Brunswick,Software Engineer,1
Bonn,Data Scientist,1
Boeblingen,QA Engineer,1
Bielefeld,Software Engineer,1
Barcelona,Data Scientist,1
Ansbach,Software Engineer,1
Friedrichshafen,Software Engineer,1
Hamburg,Frontend Developer,1
Hannover,QA Engineer,1
Jena,Software Engineer,1
Lübeck,Software Engineer,1
Luttich,Data Scientist,1
London,Software Engineer,1
London,Frontend Developer,1
Leipzig,Frontend Developer,1
Köln,QA Engineer,1
Krakow,QA Engineer,1
Karlsruhe ,Backend Developer,1
Karlsruhe,Backend Developer,1
Innsbruck,Data Scientist,1
Hannover,Software Engineer,1
Ingolstadt ,Software Engineer,1
Ingolstadt,Software Engineer,1
Ingolstadt,Backend Developer,1
Hildesheim ,QA Engineer,1
Hildesheim,Software Engineer,1
Helsinki,Software Engineer,1
Helsinki,Frontend Developer,1
Helsinki,Backend Developer,1
Heidelberg ,Software Engineer,1
warsaw,Data Scientist,1
